name,birthday,nationality
LeonardoDiCaprio,1974-11-11,USA
MerylStreep,1949-06-22,USA
RobertDowneyJr.,1965-04-04,USA
ScarlettJohansson,1984-11-22,USA
BradPitt,1963-12-18,USA
TomHanks,1956-07-09,USA
JuliaRoberts,1967-10-28,USA
WillSmith,1968-09-25,USA
AngelinaJolie,1975-06-04,USA
JohnnyDepp,1963-06-09,USA
JenniferAniston,1969-02-11,USA
DenzelWashington,1954-12-28,USA
SandraBullock,1964-07-26,USA
MorganFreeman,1937-06-01,USA
NataliePortman,1981-06-09,USA
RobertDeNiro,1943-08-17,USA
ReeseWitherspoon,1976-03-22,USA
GeorgeClooney,1961-05-06,USA
NicoleKidman,1967-06-20,USA
AlPacino,1940-04-25,USA
MattDamon,1970-10-08,USA
AnneHathaway,1982-11-12,USA
ChrisEvans,1981-06-13,USA
EmmaStone,1988-11-06,USA
LeonardoVieira,1968-12-28,BRAZIL
FernandaMontenegro,1929-10-16,BRAZIL
WagnerMoura,1976-06-27,BRAZIL
SoniaBraga,1950-06-08,BRAZIL
RodrigoSantoro,1975-08-22,BRAZIL
TaisAraujo,1978-11-25,BRAZIL
LazaroRamos,1978-11-01,BRAZIL
AliceBraga,1983-04-15,BRAZIL
AntonioFagundes,1949-04-18,BRAZIL
GiovannaAntonelli,1976-03-18,BRAZIL
TonyRamos,1948-08-25,BRAZIL
GraziMassafera,1982-06-28,BRAZIL
WagnerMoura,1976-06-27,BRAZIL
DeborahSecco,1979-11-26,BRAZIL
BrunoGagliasso,1982-04-13,BRAZIL
MarianaXimenes,1981-04-26,BRAZIL
MateusSolano,1981-03-20,BRAZIL
CamilaPitanga,1977-06-14,BRAZIL
MuriloBenicio,1971-07-13,BRAZIL
JulianaPaes,1979-03-26,BRAZIL
CarolinaDieckmann,1978-09-16,BRAZIL
SeltonMello,1972-12-30,BRAZIL
IsisValverde,1987-02-17,BRAZIL
CauãReymond,1980-05-20,BRAZIL
SophieCharlotte,1989-04-29,BRAZIL
BrunoMazzeo,1977-05-03,BRAZIL
